page_name,page_url,axe_alt_els,axe_contrast_els,axe_els[AXE.INCOMPLETE_CRITICAL],axe_els[AXE.INCOMPLETE_MINOR],axe_els[AXE.INCOMPLETE_MODERATE],axe_els[AXE.INCOMPLETE_SERIOUS],axe_els[AXE.VIOLATIONS_CRITICAL],axe_els[AXE.VIOLATIONS_MINOR],axe_els[AXE.VIOLATIONS_MODERATE],axe_els[AXE.VIOLATIONS_SERIOUS],axe_err[AXE.INCOMPLETE_CRITICAL],axe_err[AXE.INCOMPLETE_MINOR],axe_err[AXE.INCOMPLETE_MODERATE],axe_err[AXE.INCOMPLETE_SERIOUS],axe_err[AXE.VIOLATIONS_CRITICAL],axe_err[AXE.VIOLATIONS_MINOR],axe_err[AXE.VIOLATIONS_MODERATE],axe_err[AXE.VIOLATIONS_SERIOUS],codesniffer_alt_els,codesniffer_contrast_els,codesniffer_els[WCAG.OPERABLE_ERROR],codesniffer_els[WCAG.OPERABLE_WARNING],codesniffer_els[WCAG.PERCEIVABLE_ERROR],codesniffer_els[WCAG.PERCEIVABLE_WARNING],codesniffer_els[WCAG.ROBUST_ERROR],codesniffer_els[WCAG.ROBUST_WARNING],codesniffer_els[WCAG.UNDERSTANDABLE_ERROR],codesniffer_err[WCAG.OPERABLE_ERROR],codesniffer_err[WCAG.OPERABLE_WARNING],codesniffer_err[WCAG.PERCEIVABLE_ERROR],codesniffer_err[WCAG.PERCEIVABLE_WARNING],codesniffer_err[WCAG.ROBUST_ERROR],codesniffer_err[WCAG.ROBUST_WARNING],codesniffer_err[WCAG.UNDERSTANDABLE_ERROR],lighthouse_desktop[audit-score_cumulative-layout-shift],lighthouse_desktop[audit-score_first-contentful-paint],lighthouse_desktop[audit-score_interactive],lighthouse_desktop[audit-score_largest-contentful-paint],lighthouse_desktop[audit-score_max-potential-fid],lighthouse_desktop[audit-score_speed-index],lighthouse_desktop[audit-score_total-blocking-time],lighthouse_desktop[audit-val_cumulative-layout-shift],lighthouse_desktop[audit-val_first-contentful-paint],lighthouse_desktop[audit-val_interactive],lighthouse_desktop[audit-val_largest-contentful-paint],lighthouse_desktop[audit-val_max-potential-fid],lighthouse_desktop[audit-val_speed-index],lighthouse_desktop[audit-val_total-blocking-time],lighthouse_desktop[cat-score_accessibility],lighthouse_desktop[cat-score_best-practices],lighthouse_desktop[cat-score_performance],lighthouse_desktop[cat-score_pwa],lighthouse_desktop[cat-score_seo],lighthouse_mobile[audit-score_cumulative-layout-shift],lighthouse_mobile[audit-score_first-contentful-paint],lighthouse_mobile[audit-score_interactive],lighthouse_mobile[audit-score_largest-contentful-paint],lighthouse_mobile[audit-score_max-potential-fid],lighthouse_mobile[audit-score_speed-index],lighthouse_mobile[audit-score_total-blocking-time],lighthouse_mobile[audit-val_cumulative-layout-shift],lighthouse_mobile[audit-val_first-contentful-paint],lighthouse_mobile[audit-val_interactive],lighthouse_mobile[audit-val_largest-contentful-paint],lighthouse_mobile[audit-val_max-potential-fid],lighthouse_mobile[audit-val_speed-index],lighthouse_mobile[audit-val_total-blocking-time],lighthouse_mobile[cat-score_accessibility],lighthouse_mobile[cat-score_best-practices],lighthouse_mobile[cat-score_performance],lighthouse_mobile[cat-score_pwa],lighthouse_mobile[cat-score_seo]
,https://www.bstu.ru/,6,96,,,,112,8,,12,32,,,,2,3,,3,3,21,32,,,41,33,7,1,1,,,6,8,5,1,1,0.76,0.08,0.49,0.13,0.58,0.14,0.87,0.15122858917388,2921.2335,4550.505,4462.952,226,3719.556143808,164.5,0.82,0.6,0.48,0.18,0.73,0.76,0,0.05,0.01,0,0.08,0.15,0.15055214950888,8387.3455,17124.368,9669.7905,943,10406.171530221,1457,0.82,0.53,0.17,0.17,0.62
,http://www2.bigpi.biysk.ru/wwwsite/news.php,38,28,1,1,,14,40,1,33,66,1,1,,2,2,1,3,4,60,24,1,9,79,97,5,9,,1,1,4,7,3,1,,0.65,0.71,0.47,0,0.74,0.27,0.91,0.19158626869936,1274.2975,4657.602,10167.207,179,3022.4300482121,147,0.54,0.53,0.52,0,0.7,0.83,0.4,0.01,0,0,0.11,0.14,0.12606610114204,3313.8305,26825.5315,70171.7045,1368,9664.753456255,1490.258,0.54,0.47,0.22,0,0.58
,http://pgusa.ru/,15,85,,1,,25,16,,14,108,,1,,1,2,,5,2,39,109,1,,127,50,40,1,,1,,5,7,5,1,,0.52,0.15,0.87,0.23,1,0.02,1,0.24237883041548,2462.4105,2640.1065,3609.052,55,5676.3079428815,21.5,0.73,0.67,0.54,0.18,0.73,0.95,0.01,0.29,0.02,0.51,0.02,0.87,0.077479524824354,7301.595,9648.5435,8720.9735,246,14298.584480302,231.5,0.73,0.6,0.44,0.17,0.75
,https://www.birsk.ru/,0,18,,2,,1,,3,18,39,,1,,1,,1,3,5,0,17,,,20,28,24,,1,,,2,7,1,,1,1,0.63,0.99,0.46,1,0.64,1,0.00056380785075314,1393.872,1502.325,2525.4195,36.5,1972.2882406671,3.5,0.83,0.8,0.79,0.36,0.91,0.91,0.11,0.73,0.28,1,0.5,1,0.097572326660156,4928.663,5345.82,4928.663,57,5792.7717199537,59.5,0.83,0.67,0.64,0.42,0.89
,https://bgpu.ru/index.jsp,3,91,,1,,28,3,,31,102,,1,,1,1,,4,3,42,97,,1,83,81,12,2,1,,1,5,11,4,2,1,0.89,0.25,0.94,0.13,1,0.2,1,0.10322154215401,2132.4445,2144.4445,4445.576,33,3311.2682778882,0,0.63,0.73,0.61,0.18,0.6,0.44,0.02,0.37,0,0.9,0.12,0.98,0.28053548544491,6634.1845,8656.2185,11205.372,129,9591.9281367605,109.5,0.63,0.67,0.41,0.17,0.5
,https://brstu.ru/,2,56,2,7,,38,3,,69,36,1,1,,1,2,,4,3,1,62,2,,11,100,3,24,,1,,3,9,2,2,,0.01,1,0.77,0.72,0.51,0.81,0.75,1.3671394179759,348.811,3182.969,1761.2525,248,1568.2992017778,226,0.75,0.8,0.66,0.36,0.82,0,1,0.13,0.33,0.01,0.81,0.18,2.0850256076389,1062.457,12918.6895,4699.8125,895,4002.7989095518,1309.5,0.67,0.73,0.33,0.42,0.83
,http://bgitu.ru/,10,46,9,,,24,10,8,29,32,1,,,1,1,1,4,3,13,23,,1,29,33,7,1,,,1,4,6,3,1,,0.4,0.98,0.99,0.88,0.97,0.93,0.99,0.30006096494998,690.57,1373.529,1278.503,98,1189.5440177478,83.084,0.88,0.6,0.87,0.18,0.8,0.91,0.49,0.52,0.32,0.2,0.73,0.45,0.094962406158447,3020.7,7071.0275,4732.057,381,4502.8482811731,666.783,0.8,0.6,0.53,0.17,0.81
,https://www.tu-bryansk.ru/,0,62,,5,,55,,,61,21,,1,,1,,,3,4,0,14,1,1,8,79,8,10,1,1,1,2,9,3,1,1,0.8,0.51,0.73,0.14,0.68,0.48,0.93,0.13743907491846,1583.96,3355.1825,4283.584,198,2340.2262700338,131.4245,0.79,0.73,0.61,0.36,0.82,0.93,0.03,0.22,0.02,0,0.29,0.34,0.088775981676351,6218.739,10936.264,8761.372,952,7333.3475213459,853.5,0.71,0.73,0.3,0.33,0.83
,https://brgu.ru/,6,68,,6,,6,7,,29,79,,1,,1,2,,4,3,8,73,,11,113,61,38,1,,,1,6,9,5,1,,1,0.78,1,0.19,1,0.82,1,0.020917901601005,1149.194,1170.694,3828.801,23,1532.6824117408,0,0.72,0.73,0.76,0.36,0.7,0.99,0.49,0.9,0.07,0.97,0.85,1,0.041813788414001,3036.94,3770.2845,6883.6895,96,3775.8135597714,63,0.72,0.8,0.69,0.42,0.71
,https://www.bsu.ru/,19,45,2,,,26,19,,42,24,2,,,2,1,,3,4,21,52,1,2,40,53,3,12,1,1,1,5,9,3,2,1,0.51,0.65,0.81,0.48,0.95,0.26,0.95,0.2459194819109,1366.205,2964.235,2465.6915,107,3042.0453195587,115,0.85,0.87,0.65,0.36,0.7,1,0.1,0.15,0.02,0.07,0.11,0.21,0,5009.9305,12291.681,8766.0295,528,9723.5921055447,1185,0.85,0.73,0.25,0.42,0.72
